id,label,pred_label
0000,dirty,cleaned
0001,dirty,dirty
0002,dirty,cleaned
0003,dirty,dirty
0004,dirty,dirty
0005,dirty,dirty
0006,dirty,dirty
0007,dirty,dirty
0008,dirty,dirty
0009,dirty,cleaned
0010,dirty,dirty
0011,dirty,dirty
0012,dirty,dirty
0013,dirty,dirty
0014,dirty,dirty
0015,dirty,cleaned
0016,dirty,cleaned
0017,dirty,cleaned
0018,dirty,dirty
0019,dirty,dirty
0020,dirty,dirty
0021,dirty,dirty
0022,dirty,dirty
0023,dirty,dirty
0024,dirty,dirty
0025,dirty,dirty
0026,dirty,dirty
0027,dirty,dirty
0028,dirty,cleaned
0029,dirty,dirty
0030,dirty,cleaned
0031,dirty,dirty
0032,dirty,dirty
0033,dirty,dirty
0034,dirty,dirty
0035,dirty,dirty
0036,dirty,dirty
0037,dirty,cleaned
0038,dirty,dirty
0039,dirty,dirty
0040,dirty,dirty
0041,dirty,dirty
0042,dirty,dirty
0043,dirty,dirty
0044,dirty,dirty
0045,dirty,dirty
0046,dirty,dirty
0047,dirty,cleaned
0048,dirty,dirty
0049,dirty,dirty
0050,dirty,dirty
0051,dirty,dirty
0052,dirty,dirty
0053,dirty,dirty
0054,dirty,dirty
0055,dirty,dirty
0056,dirty,dirty
0057,dirty,dirty
0058,dirty,dirty
0059,dirty,cleaned
0060,dirty,cleaned
0061,dirty,dirty
0062,dirty,dirty
0063,dirty,dirty
0064,dirty,dirty
0065,dirty,dirty
0066,dirty,dirty
0067,dirty,dirty
0068,dirty,dirty
0069,dirty,dirty
0070,dirty,dirty
0071,dirty,cleaned
0072,dirty,dirty
0073,dirty,cleaned
0074,dirty,dirty
0075,dirty,cleaned
0076,dirty,dirty
0077,dirty,cleaned
0078,dirty,dirty
0079,dirty,cleaned
0080,dirty,dirty
0081,dirty,cleaned
0082,dirty,dirty
0083,dirty,dirty
0084,dirty,dirty
0085,dirty,dirty
0086,dirty,dirty
0087,dirty,dirty
0088,dirty,dirty
0089,dirty,dirty
0090,dirty,cleaned
0091,dirty,dirty
0092,dirty,dirty
0093,dirty,dirty
0094,dirty,dirty
0095,dirty,dirty
0096,dirty,dirty
0097,dirty,dirty
0098,dirty,dirty
0099,dirty,dirty
0100,dirty,dirty
0101,dirty,dirty
0102,dirty,dirty
0103,dirty,cleaned
0104,dirty,dirty
0105,dirty,dirty
